,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
女,Phillis,,,英語,Phyllis 的變體。,,,,,,
女,Philomena,,,英語、德語、古希臘語（拉丁化）,源自希臘語 Φιλουμένη (Philoumene)，意為“被愛”，是 φιλέω (phileo) 的變體，意為“愛”。這是一位鮮為人知的早期聖人和殉道者的名字。 1802年，在羅馬發現了一座似乎標有「菲盧梅娜」（Filumena）名字的墳墓，據信其墓主是另一位名叫菲洛梅娜（Philomena）的殉道者。這實際上可能是希臘語φιλουμένη的變體，而非一個名字。,,,,,,
女,Phoebe,,,英語、希臘神話（拉丁化）、聖經、聖經拉丁語,希臘名φοίβη（Phoibe）的拉丁化形式，意為“明亮、純潔”，源自希臘語φοῖβος（phoibos）。在希臘神話中，菲比是一位與月亮相關的泰坦神。這也是她孫女──月亮女神阿爾忒彌斯（Artemis）的稱號。這個名字出現在《新約》中保羅致羅馬人的書信中，屬於堅革哩教會的一位女牧師。在英國，新教改革後，它開始被用作名字。它在19世紀較為常見。在1980年代末，它再次流行起來，這可能是受到美國電視劇《老友記》（1994-2004）和《聖女魔咒》（1998-2006）中角色的影響。目前，它在英國、澳洲和紐西蘭的流行程度遠高於美國。土星的一顆衛星也以這個名字命名，以紀念泰坦。,,,,,,
男女,Phoenix,,,英語（現代）,源自於埃及和希臘神話中一種美麗的永生鳥的名字。它在阿拉伯沙漠中生活了幾個世紀後，會被火吞噬，然後從自己的灰燼中重生，每500年重複一次。這種鳥的名字源自於希臘文φοῖνιξ（phoinix），意為「深紅色」。,,,,,,
女,Phyliss,,,英語,Phyllis 的變體。,,,,,,
女,Phyllida,,,英語（罕見）,源自 Φυλλίδος (Phyllidos)，Phyllis 的屬格形式。此形式用於 17 世紀的田園詩。,,,,,,
女,Phyllis,,,希臘神話，英語,希臘文意為「葉子」。在希臘神話中，這是一個因愛戴摩豐而自殺的女人的名字，後來她變成了一棵杏樹。它在 16 世紀開始在英國用作名字，儘管它經常與 Felicia 混淆。,,,,,,
男,Pierce,,,英語,源自於一個源自於名字 Piers 的英語姓氏。在美國，這個名字在 1982 年隨著演員皮爾斯布魯斯南 (1953-) 開始出演電視劇《雷明頓斯蒂爾》而逐漸流行起來。,,,,,,
男,Piers,,,英語（英國），中世紀法語,Peter 的中世紀形式。這是威廉‧朗格蘭 (William Langland) 14 世紀詩歌《農夫皮爾斯》(Piers Plowman) 中主角的名字。,,,,,,
女,Piety,,,英語（罕見）,源自英語單字「虔誠、虔誠」。這是 17 世紀清教徒使用的罕見美德名稱。,,,,,,
男女,Pip,,,英語,Philip 或 Philippa 的暱稱。這是查爾斯狄更斯 (Charles Dickens) 1860 年作品《遠大前程》(Great Expectations) 中主角的名字。,,,,,,
女,Piper,,,英語（現代）,源自英語姓氏，原指吹笛子的人。它因 1998 年首播的電視劇《聖女魔咒》(Charmed) 中的一個角色而作為名字而廣為人知。,,,,,,
女,Pippa,,,英語,Philippa 的暱稱。,,,,,,
男,Placid,,,英語（罕見）,Placidus 的英語形式（參見 Placido）。,,,,,,
女,Pleasance,,,英語（古語）,源自中世紀名稱 Plaisance，在古法文中意為「愉快的」。,,,,,,
女,Pollie,,,英語,Polly 的變體。,,,,,,
女,Polly,,,英語,Molly 的中世紀變體。首輔音變化的原因尚不清楚。,,,,,,
女,Poppy,,,英語,源自表示紅花的單字，源自古英語 popæg。,,,,,,
女,Porsche,,,英語（現代）,源自由費迪南德保時捷 (1875-1951) 創立的德國汽車公司的名稱。,,,,,,
男,Porter,,,英語,源自一個職業英語姓氏，意為“守門人”，最終源自古法語 porte（門），源自拉丁語 porta。,,,,,,
女,Portia,,,英語,Porcia 的變體，Porcia 是羅馬姓氏 Porcius 的女性形式，威廉·莎士比亞曾用其作為其戲劇《威尼斯商人》(1596) 中女主角的名字。在戲劇中，鮑西亞是一位女扮男裝，在法庭上為安東尼奧辯護的女子。它也是天王星一顆衛星的名字，取自莎士比亞筆下的人物。,,,,,,
女,Posie,,,英語,Posy 的變體。,,,,,,
女,Posy,,,英語,約瑟芬的暱稱。它也受到英語單字 posy（表示一束鮮花）的啟發。,,,,,,
女男,Praise,,,英語（非洲）,源自英語單字 Praise，該詞最終（透過古法語）源自晚期拉丁語 pretio，後者是拉丁語 pretium（表示價格、價值）的衍生詞。該名字在英語非洲最為常見。,,,,,,
女,Precious,,,法語，非洲語，非裔美國人（現代）,源自英語單字precious，最終源自於拉丁文pretiosus，後者是拉丁文pretium（意為「價格、價值」）的衍生字。,,,,,,
女男,Presley,,,英語,源自英語姓氏，該姓氏最初源自於一個地名，意為「牧師空地」（古英語preost和leah）。音樂家貓王（1935-1977）也曾使用過該姓氏。,,,,,,
男,Preston,,,英語,源自英語姓氏，該姓氏最初源自於一個地名，意為「牧師鎮」（古英語preost和tun）。,,,,,,
男,Price,,,英語,源自威爾斯姓氏，姓氏源自ap Rhys，意為「里斯之子」。,,,,,,
女,Primrose,,,法語（罕見）,源自英語中表示花朵的單字，最終源自於拉丁文prima rosa（意為「第一朵玫瑰」）。,,,,,,
女,Primula,,,英語（罕見），義大利語（罕見）,源自多種花卉的屬名，包括報春花。它源自於拉丁文 primulus，意為「最早的」。,,,,,,
男,Prince,,,英語,源自英語單字 prince，這是一種皇室頭銜，最終源自於拉丁語 princeps。這個名字由美國音樂家普林斯·羅傑斯·尼爾森 (Prince Rogers Nelson，1958-2016) 所命名，他被簡稱為王子 (Prince)。,,,,,,
女,Princess,,,英語（現代）,王子 (Prince) 的女性對應。,,,,,,
男,Princeton,,,英語（現代）,源自新澤西州的一個城鎮或大學的名稱。該鎮建於18世紀初，據說以奧蘭治親王威廉三世的名字命名。,,,,,,
女,Pris,,,英語,普里西拉 (Priscilla) 的縮寫。,,,,,,
女,Priscilla,,,英語、義大利語、法語、古羅馬語、聖經拉丁語、聖經,羅馬名字，普里斯卡 (Prisca) 的暱稱。在《新約使徒行傳》中，保羅與百基拉（又稱普里斯卡）及其丈夫亞居拉在哥林多住了一段時間。自宗教改革以來，它就一直被用作英語名，在清教徒中很受歡迎。亨利·沃茲沃思·朗費羅在其1858年的詩歌《邁爾斯·斯坦迪什的求愛》中也使用了它。,,,,,,
女,Prissy,,,英語,Priscilla 的縮寫。,,,,,,
女男,Promise,,,英語（非洲）,源自英語單字 promise，源自於拉丁文 promissum。目前在受英語影響的非洲地區最為常見。,,,,,,
男,Prosper,,,英語、法語,源自拉丁文語名 Prosperus，意為「幸運的、成功的」。這是一位5世紀聖徒的名字，他是聖奧古斯丁的支持者。儘管清教徒曾使用過它，但它從未作為英語名普遍使用，部分原因是它與英語單字 prosper 相同。,,,,,,
女,Pru,,,英語,Prudence 的縮寫。,,,,,,
女,Prudence,,,英語、法語,Prudentia 的中世紀英語形式，Prudentius 的陰性形式。在法國，它既是陰性形式，也是一種罕見的陽性形式。在英國，它在中世紀就已使用，並在 17 世紀被清教徒復興，部分源於英語單字 prudence，兩者最終源於同一來源。,,,,,,
女,Prue,,,英語,Prudence 的縮寫。,,,,,,
女,Prunella,,,英語（罕見）,源自英語單字，指一種花，也稱為自癒花，最終源自於拉丁語單字 pruna（李子）。,,,,,,
男女,Purdie,,,英語（罕見）,源自於一個英語姓氏，該姓氏源自於諾曼法語表達 pur die（上帝保佑）。它最初可能是一個經常宣誓的人的暱稱。,,,,,,
Q,,,,,,,,,,,
女,Queen,,,英語,源自於一個古老的暱稱，源自於英語單字 queen，最終源自於古英語 cwen，意為「女人，妻子」。,,,,,,
女,Queenie,,,英語,Queen 的縮寫。,,,,,,
男,Quentin,,,法語，英語,羅馬名字 Quintinus 的法文形式。它是由一位公元 3 世紀的聖徒所用，他是一位在高盧殉道的傳教士。諾曼人將這個名字引入了英國。在美國，這個名字是由西奧多·羅斯福總統的兒子昆汀·羅斯福 (1897-1918) 引起公眾關注的，他在第一次世界大戰中陣亡。美國電影導演昆汀塔倫提諾 (1963-) 是這個名字的著名使用者。,,,,,,
男女,Quin,,,英語（罕見）,Quinn 的變體。,,,,,,
男女,Quincey,,,英語（罕見）,Quincy 的變種。,,,,,,
男女,Quincy,,,英語,源自於一個英語姓氏，該姓氏（透過地名 Cuinchy）衍生自人名 Quintus。一位著名的姓氏使用者是美國第六任總統約翰·昆西·亞當斯（1767-1848），他出生於馬薩諸塞州昆西鎮。該鎮和總統都以他的曾祖父約翰·昆西（1689-1767）的名字命名。另一位著名的姓氏使用者是美國音樂家昆西瓊斯（1933-2024）。,,,,,,
男女,Quinlan,,,英語（罕見）,源自愛爾蘭姓氏，是Ó Caoindealbháin的英語化形式，而Ó Caoindealbháin本身源自於名字Caoindealbhán（古愛爾蘭語Caíndelbán）。,,,,,,
男女,Quinn,,,英語,源自愛爾蘭姓氏，是愛爾蘭蓋爾語Ó Cuinn的英語化形式，而Ó Cuinn本身源自於名字Conn。在美國，直到2010年，也就是女性角色Quinn Fabray開始出現在電視劇《歡樂合唱團》的第二年，它才更常被用作男孩名。,,,,,,
女,Quintella,,,英語（罕見）,Quintus 的陰性暱稱。,,,,,,
男,Quinten,,,英語,Quentin 的變體和荷蘭語形式。,,,,,,
男,Quintin,,,英語,Quentin 的變體。,,,,,,
男,Quinton,,,英語,Quentin 的變體，也與古英語中意為「皇后鎮」的一個英語姓氏相符。,,,,,,
R,,,,,,,,,,,
女,Racheal,,,英語,Rachel 的變體。,,,,,,
女,Rachel,,,英語、希伯來語、法語、荷蘭語、德語、聖經、聖經拉丁語、聖經希伯來語,源自希伯來文名字 רָחֵל (Raḥel)，意為「母羊」。在《舊約》中，這是雅各最寵愛的妻子的名字。她的父親拉班先騙雅各娶了她的姊姊莉亞，但拉班以七年的勞動換取雅各娶了拉結。她起初不孕，又因丈夫的憤怒，便將使女闢拉獻給雅各為他生子。最後她自己也成功懷孕，生下了約瑟和便雅憫。這個名字在中世紀的猶太人中很常見，但直到宗教改革之後，才在英語世界被普遍用作基督教名字。它在 20 世紀上半葉頗為流行，但從 20 世紀 60 年代開始，使用率穩步上升，在 20 世紀 80 年代和 90 年代達到頂峰。美國情境喜劇《老友記》（1994-2004）中的角色瑞秋格林可能只是延緩了它的衰落。著名的使用瑞秋卡森（1907-1964）、英國女演員瑞秋薇茲（1970-）和加拿大女演員瑞秋麥克亞當斯（1978-）等,,,,,,
女,Rachelle,,,英語、法語,Rachel 的變體。在英語世界中，它可能受到了 Rochelle 拼字的影響。,,,,,,
女,Rachyl,,,英語（罕見）,Rachel 的變體。,,,,,,
女,Racquel,,,英語,Raquel 的變體。,,,,,,
男,Radcliff,,,英語（罕見）,源自一個姓氏，該姓氏源自於古英語中意為「紅色懸崖」的地名。,,,,,,
男,Radclyffe,,,英語（罕見）,源自一個姓氏，Radcliff 的變體。,,,,,,
女,Rae,,,英語,Rachel 的縮寫。它也可以用作 Ray 的陰性形式。,,,,,,
男,Raeburn,,,英語（罕見）,源自蘇格蘭姓氏，姓氏原源自於一個地名，意為「鹿飲水的溪流」（源自蘇格蘭語 rae「狍子」和 burn「溪流」）。該姓氏的著名使用者是蘇格蘭肖像畫家亨利·雷伯恩（1756-1823）。,,,,,,
女,Raegan,,,英語（現代）,Reagan 的變體。,,,,,,
女,Raelene,,,英語（罕見）,Rae 與常用名後綴 lene 的組合。,,,,,,
女,Raelyn,,,英語（現代）,Rae 與常用名後綴 lyn 的組合。,,,,,,
女,Raelynn,,,英語（現代）,Rae 與常用名後綴 lyn 的組合。,,,,,,
女,Raewyn,,,英語（紐西蘭）,Rae 和 Wyn 的組合（尤其在新西蘭使用）。,,,,,,
男,Rafe,,,英語,Ralph 的變體。這種形式在 17 世紀變得普遍，反映了通常的發音。,,,,,,
男,Rafferty,,,英語,源自愛爾蘭姓氏，本身源自於名字 Rabhartach，意為「漲潮」。,,,,,,
女男,Rain (1),,,英語（罕見）,僅源自英語單字 rain，源自古英語 regn。,,,,,,
女,Raindow,,,英語（罕見）,源自於英語，意指在霧濛濛的天空中出現的五彩光弧。,,,,,,
女男,Raine,,,英語（罕見）,源自於一個姓氏，該姓氏源自古法語暱稱 reine，意為「女王」。英國名媛 Raine Spencer（1929-2016）是該姓氏的著名代表，她是戴安娜王妃的繼母。在現代，它也被認為是 Rain 1 的變體。,,,,,,
男女,Raleigh,,,英語,源自於一個英語姓氏，該姓氏源自一個地名，在古英語中意為“紅色空地”或“狍子空地”。北卡羅來納州的一座城市以英國廷臣、詩人和探險家沃爾特·羅利（1552-1618）的名字命名。,,,,,,
男,Ralf,,,德語、瑞典語、丹麥語、英語（罕見）,Ralph 的變體。,,,,,,
男,Ralph,,,英語、德語、瑞典語,古挪威語名稱 Ráðúlfr（或其諾曼語形式 Radulf）的縮寫形式。斯堪的納維亞定居者在諾曼征服之前將其引入英格蘭，但之後受到諾曼人的影響而得以發展。在中世紀，它被拼寫為 Rauf、Rafe 或 Ralf，以反映其通常的發音。 Ralph 的拼字在 18 世紀變得更加普遍。該名字的著名使用者是拉爾夫·沃爾多·愛默生（1803-1882），他是一位美國詩人和作家，著有關於超驗主義的著作。,,,,,,
男,Ralphie,,,英語,Ralph 的暱稱。,,,,,,
女,Ramona,,,西班牙語、羅馬尼亞語、英語,Ramón 的陰性形式。海倫亨特傑克森的小說《拉莫娜》（1884 年）以及隨後根據該書改編的幾部電影使其在英語世界廣為流傳。,,,,,,
男,Ramsey,,,英語,源自英國和蘇格蘭姓氏，該姓氏源自於古英語中意為「大蒜島」的地名。,,,,,,
男,Rand,,,英語,Randolf 和其他以 Rand 開頭的名字的縮寫。作為姓氏（也源自 Randolf），它是由俄裔美國作家艾恩·蘭德 (1905-1982) 以筆名命名的。,,,,,,
男,Randal,,,英語,Randall 的變體。,,,,,,
男,Randall,,,英語,源自於一個英國姓氏，該姓氏源自中世紀名字 Randel。,,,,,,
男,Randell,,,英語,Randall 的變體。,,,,,,
女,Randi (1),,,英語,Miranda 的暱稱。,,,,,,
男,Randolf,,,英語,源自古德語元素 rant，意為“（盾牌的）邊緣”，wolf，意為“狼”。諾曼人將這個名字帶到了英格蘭，當時那裡已經存在一個古挪威語同源詞 Randúlfr，該詞由斯堪的納維亞定居者引入。中世紀之後，Randolf 變得稀少，但在 18 世紀又重新流行起來（通常拼寫為 Randolph）。,,,,,,
男,Randolph,,,英語,Randolf 的變體。該拼字在 18 世紀被採用。,,,,,,
男女,Randy,,,英語,Randall、Randolf 或 Miranda 的暱稱。,,,,,,
男,Ranulph,,,英語（罕見）,Ranulf 的變體。,,,,,,
男,Raphael,,,德語、英語、聖經,源自希伯來文名字 רָפָאֵל (Rafaʾel)，意為“上帝治愈”，其詞根 רָפָא (rafa) 意為“治愈”，אֵל (ʾel) 意為“上帝”。在希伯來傳統中，拉斐爾（Raphael）是一位大天使的名字。他出現在《托比特書》中，書中他偽裝成名為阿扎里亞斯（Azarias）的男子，陪伴托比亞斯前往米底，一路上給予他幫助。最終，他治癒了托比亞斯父親托比特的失明。新約聖經中沒有提到他，但傳統上認為他是約翰福音5:4中攪動水面的天使。這個名字在英語世界中並不常見，但在歐洲其他地區卻被廣泛使用。義大利文藝復興時期大師拉斐爾桑西（Raffaello Sanzio，1483-1520）是這個名字的著名持有者，通常簡稱為拉斐爾（Raphael）。,,,,,,
女,Raquel,,,西班牙語、葡萄牙語、英語,Rachel 的西班牙語和葡萄牙語形式。,,,,,,
女,Raschelle,,,英語（罕見）,Rachelle 的變體。,,,,,,
男,Rastus,,,英語（罕見）,Erastus 的縮寫。,,,,,,
女男,Raven,,,英語,源自鳥類名稱，最終源自古英語 hræfn。渡鴉受到西海岸幾個美洲原住民群體的崇敬。它也與北歐神話中的神奧丁有關。,,,,,,
女,Ravenna,,,英語（罕見）,可能是 Raven 的衍生詞，也可能源自義大利城市拉文納 (Ravenna) 的名稱。,,,,,,
男,Ray,,,英語,Raymond 的縮寫，通常用作獨立名稱。它與一個表示“光束”的英語單字重疊。科幻小說作家雷‧布拉德伯里 (1920-2012) 和音樂家雷‧查爾斯 (1930-2004) 是兩位著名的渡鴉使用者。,,,,,,
女,Raylene,,,英語（罕見）,由 Rae 和常用名後綴 lene 組合而成。,,,,,,
男,Raymond,,,法語、英語,源自日耳曼名 Raginmund，由 regin（建議、忠告、決定）和 munt（保護）組成。諾曼人以 Reimund 的形式將此名引入英格蘭。中世紀（主要為西班牙）多位聖徒都曾使用此名，包括助產士和孕婦的守護神聖雷蒙德·諾納圖斯 (Saint Raymond Nonnatus)，以及教會法學家的守護神佩尼亞福特的聖雷蒙德 (Saint Raymond of Peñafort)。,,,,,,
男,Raymund,,,英語（罕見）,Raymond 的變體。,,,,,,
男,Raynard,,,英語,Reynard 的變體。,,,,,,
男,Rayner,,,英語（古語）,源自日耳曼名 Raginheri，由 regin（建議、忠告、決定）和 heri（軍隊）組成。聖雷內裡烏斯 (Saint Rainerius) 是一位來自 12 世紀比薩的隱士。諾曼人將這個名字帶到了英格蘭，並在那裡廣泛使用，儘管到中世紀末期已經很少見了。,,,,,,
男,Read,,,英語（罕見）,源自姓氏，是 Reed 的變體。,,,,,,
女男,Reagan,,,英語（現代）,源自愛爾蘭姓氏，是 Ó Riagáin 的英語化形式，源自於名字 Riagán。這個姓氏由美國演員兼總統羅納德·雷根 (1911-2004) 使用。作為名字，它在 20 世紀 90 年代開始流行。在美國，這個名字更受女孩歡迎，可能是因為它與 Megan、Morgan 和 Regan 等其他名字相似。,,,,,,
女,Reanna,,,英語（現代）,Rhianna 的變體。,,,,,,
女,Reannon,,,英語（罕見）,Rhiannon 的變體。,,,,,,
男,Rearden,,,英語（罕見）,源自愛爾蘭姓氏，是 Riordan 的變體。,,,,,,
女,Reba,,,英語,Rebecca 的縮寫。,,,,,,
女,Rebecca,"Becca, Becci, Becka, Beckah, Becki, Becky, Bekki, Reba, Beck（英文）",,英語、義大利語、瑞典語、德語、荷蘭語、聖經、拉丁語,源自希伯來文 רִבְקָה (Rivqa)，可能源自於閃族語字根，意為「連結、捆綁、圈套」。這是《舊約》中以撒妻子、以掃和雅各母親的名字。宗教改革後，它作為英語基督教名字開始使用，並在17世紀的清教徒中流行起來。此後，它一直被使用，在20世紀下半葉尤為流行。華特‧史考特的小說《艾凡赫》（1819年）中的一位猶太女性也使用了這個名字，達芙妮‧杜穆里埃的小說《蝴蝶夢》（1938年）中的主角（已故，未露面）也使用了這個名字。,,,,,,
女,Rebeccah,,,英語（罕見）,Rebecca 的變體。,,,,,,
女,Rebeccanne,,,英語（罕見）,Rebecca 和 Anne 1 的組合。,,,,,,
女,Rebeckah,,,英語（罕見）,Rebecca 的變體。,,,,,,
女,Rebekah,,,聖經,Rebecca 的變體，用於某些版本的聖經。,,,,,,
男,Red,,,英語,源自英語中表示顏色的單字，最後源自於古英語 read。這通常是對紅髮或紅潤膚色的人的暱稱。,,,,,,
男,Redd,,,英語（罕見）,Red 的變體。,,,,,,
男,Reece,,,威爾斯語，英語,Rhys 的英語化形式。,,,,,,
男,Reed,,,英語,源自於一個英語姓氏，該姓氏源自古英語 read，意為“紅色”，最初是對紅髮或紅潤膚色的人的暱稱。無關的是，這也是英語中指生長在沼澤中的高草狀植物的字。,,,,,,
女,Reene,,,英語（罕見）,Renée 的變體。,,,,,,
女,Reenie,,,英語（罕見）,Renée 的變體，或以 reen 結尾的名字的縮寫。,,,,,,
男女,Reese,,,威爾斯語、英語,Rhys 的英語化形式。它也用作女性名字，由美國女演員瑞茜威瑟斯彭 (1976-) 推廣。,,,,,,
男,Reg,,,英語,Reginald 的縮寫。,,,,,,
女男,Regan,,,文學、英語,含義不明。在蒙茅斯的傑弗裡編年史中，它是李爾王一個叛逆女兒的名字。莎士比亞將這個故事改編成他的悲劇《李爾王》(1606)。在現代，它出現在恐怖電影《驅魔人》(1973) 中，屬於一個被魔鬼附身的女孩。這個名字也可以用作 Reagan 的變體。,,,,,,
女,Regana,,,英語（罕見）,Regan 的衍生詞，受 Regina 的影響。,,,,,,
女,Regena,,,英語,Regina 的變體。,,,,,,
男,Reggie,,,英語,Reginald 的暱稱。,,,,,,
女,Regina,Regina（英語） Regine（德語） Reina（西班牙語） Regina（捷克語） Regina（斯洛伐克語） Regine（挪威語）,,英語、德語、義大利語、西班牙語、葡萄牙語、立陶宛語、愛沙尼亞語、波蘭語、捷克語、斯洛伐克語、俄語、匈牙利語、瑞典語、挪威語、丹麥語、晚期羅馬語,在拉丁語（或義大利語）中意為“女王”。這個名字自古以來就被用作基督教名字，由一位公元 2 世紀的聖人所用。在中世紀的英格蘭，這個名字被用來紀念聖母瑪利亞，後來在 19 世紀重新流行起來。加拿大以此命名，以紀念維多利亞女王。,,,,,,
男,Reginald,"Reg, Reggie",,英語,源自 Reginaldus，Reynold 的拉丁化形式。,,,,,,
男,Reid,,,英語,源自姓氏，Reed 的蘇格蘭變體。,,,,,,
女男,Reign,,,英語（現代）,源自英語單字 reign，源自於拉丁文 regnum（王權）。,,,,,,
男女,Reilly,,,英語（現代）,源自愛爾蘭姓氏 Ó Raghailligh 的英語化形式，源自於名字 Raghailleach，意為「未知」。,,,,,,
男女,Reminton,,,英語,源自於一個英語姓氏，該姓氏源自於蘭開夏郡裡明頓鎮的名稱，該鎮本身意為「裡明河畔的定居點」。這個名稱可能是為了紀念美國製造商 Eliphalet Remington（1793-1861）或其兒子，他們是以其名字命名的槍械公司的創始人。,,,,,,
男女,Remy,,,英語（現代）,Rémy 的英語形式，偶爾用作女性名字。,,,,,,
女,Rena,,,英語,René 的拉丁化女性形式。,,,,,,
女,Renae,,,英語,Renée 的英語變體。,,,,,,
男女,Rene,,,英語,René 或 Renée 的英語形式。,,,,,,
女,Renee,,,英語,Renée 的英語形式。,,,,,,
女,Renie,,,英語（罕見）,可能是 Renee 的暱稱。,,,,,,
女,Renita,,,英語,可能是 Renatus 的女性形式。它在 20 世紀 50 年代開始使用。,,,,,,
女,Retha,,,南非荷蘭語、英語,Margaretha 的縮寫。,,,,,,
男,Reuben,,,聖經、希伯來文、英語,在希伯來文中意為“看，一個兒子”，源自 רָאָה (raʾa)，意為“看見”和 בֵּן (ben)，意為“兒子”。在《舊約》中，他是雅各和利亞的長子，也是以色列十二個支派之一的祖先。魯本因與雅各的妾闢拉同寢而受到父親的詛咒。自新教改革以來，該名字在英國一直被用作基督教名字。,,,,,,
女,Reverie,,,英語（罕見）,源自英語單字“Reverie”，意為“白日夢，天馬行空的沉思”，源自古法語 resverie，而 resver 本身又源自於 resver，意為“做夢，胡言亂語”。,,,,,,
男,Rex,,,英語,源自拉丁文 rex，意為「國王」。自19世紀以來，它一直被用作名字。,,,,,,
女,Rexana,,,英語（罕見）,Rexanne 的變體。,,,,,,
女,Rexanne,,,英語（罕見）,Roxane 的變體，受 Rex 影響。,,,,,,
男,Reynard,,,英語（罕見）,源自日耳曼名字 Raginhard，由 regin（建議、忠告、決定）和 hart（堅定、堅定、勇敢、耐寒）組成。諾曼人將其以 Reinard 的形式傳入英國，但在那裡並未普及。在中世紀寓言中，這個名字由狡猾的英雄狐狸雷納德 (Reynard the Fox) 所用（因此 renard 成為了法語單詞，意為“狐狸”）。,,,,,,
男,Reynold,,,英語,源自日耳曼語名 Raginald，由 regin（建議、忠告、決定）和 walt（權力、權威）組成。諾曼人（他們使用 Reinald 或 Reinold 等形式）將此名帶到了英國，並強化了當時已存在的罕見古英語和挪威語同源詞。它在中世紀很常見，但在 15 世紀後變得更加罕見。,,,,,,
女,Rheanna,,,英語（罕見）,Rhianna 的變體。,,,,,,
男,Rhett,,,英語,源自一個姓氏，是荷蘭語 de Raedt 的英語化形式，源自 raet（建議、忠告）。瑪格麗特·米切爾在她的小說《亂世佳人》（1936 年）中用這個名字命名了角色瑞特·巴特勒。,,,,,,
女,Rhetta,,,英語（罕見）,Rhett 的陰性形式。,,,,,,
女,Rhianna,,,英語（現代）,可能是 Rhiannon 的變體。,,,,,,
女,Rhiannon,,,威爾斯語、英語、威爾斯神話,可能源自於一個未經證實的凱爾特名字 *Rīgantonā，意為“偉大的女王”（凱爾特語 *rīganī 意為“女王”，以及神聖或增強後綴 -on）。據推測，Rigantona 是一位古老的凱爾特女神，可能與生育力和馬匹（例如高盧的埃波娜）有關。在威爾斯傳說《馬比諾基》中，她以 Rhiannon 的身份出現，是一位騎著白馬的美麗魔法女子。她曾與 Gwawl 訂婚，但她狡猾地解除了婚約，嫁給了 Pwyll。他們的兒子是 Pryderi。作為英語名，它因 Fleetwood Mac 樂隊的歌曲 Rhiannon（1976 年）而流行起來，尤其是在英國和澳大利亞。,,,,,,
女,Rhoda,,,英語,源自希臘文 ῥόδον (rhodon)，意為「玫瑰」。在《新約》中，這個名字是由約翰·馬可的母親瑪利亞家中的女僕所生。作為英語名字，Rhoda 於 17 世紀開始使用。,,,,,,
女,Rhonda,,,英語,可能是 Rhoda 和 Linda 發音的混合，但也可能受到南威爾斯朗達谷地名和/或著名英國女權主義者瑪格麗特·麥克沃思，朗達子爵夫人（1883-1956）的影響。這個名字自 20 世紀初才開始使用，起初很少使用。它在 1920 世紀 40 年代中期開始流行，與美國女演員朗達弗萊明（1923-2020，本名瑪麗蓮路易斯）同時出現。它在 1965 年在美國達到頂峰，此後逐漸衰落。,,,,,,
男,Rhys,,,威爾斯語，英語,源自古威爾斯語 Ris，可能意為「熱情、熱忱」。幾位威爾斯統治者都曾使用過這個名字，包括12世紀抵抗諾曼入侵的Rhys ap Gruffydd。,,,,,,
男,Rian,,,愛爾蘭語、古愛爾蘭語、英語,Ryan的愛爾蘭語形式，以及英語變體。,,,,,,
女,Riannon,,,英語（罕見）,Rhiannon的變體。,,,,,,
女,Rica,,,英語（罕見）,Frederica和其他以rica結尾的名字的縮寫。,,,,,,
男,Rich,,,英語,Richard的縮寫。,,,,,,
男,Richard,"Dick, Rich, Richie, Rick, Rickey, Ricki, Rickie, Ricky, Rikki, Ritchie (英語) Riško, Rišo (斯洛伐克語)",,英語、法語、德語、捷克語、斯洛伐克語、荷蘭語、瑞典語、挪威語、丹麥語、日耳曼語,意為“勇敢的統治者”，源自古德語元素rih（統治者，國王）和hart（堅強、堅定、勇敢、耐寒）。這是諾曼第早期三位公爵的名字。諾曼人在11世紀入侵時將其引入英格蘭，從那時起，它就非常普遍地在那裡。三位英國國王都曾使用過這個名字，其中包括 12 世紀的獅心王理查一世，他是第三次十字軍東徵的領袖之一。在中世紀晚期，這個名字通常是英國男性五個最常見名字之一（其他五個是約翰、威廉、羅伯特和托馬斯）。它一直流行到現代，在 20 世紀 40 年代在美國達到頂峰，稍後在英國達到頂峰，之後逐漸下降。著名的使用這個名字的人包括兩位德國歌劇作曲家理查德·瓦格納 (1813-1883) 和理查德·施特勞斯 (1864-1949)，以及英國探險家理查德·伯頓 (1821-1890)、美國總統理查德·尼克松 (1913-1994)、美國物理學家理查德·伯頓曼(1925-1984) 和美國音樂家小理查德 (1932-2020)。,,,,,,
女,Richardine,,,英語（罕見）,Richard 的女性形式。,,,,,,
女,Richelle,,,英語,Rachel 或 Rochelle 的變體，可能受 Michelle 的影響。在某些情況下，它可以被視為 Richard 的女性形式。,,,,,,
男,Richie,,,英語,Richard 的暱稱。,,,,,,
女,Richmal,,,英語（罕見）,意義不明，可能是 Richard 和 Mary 的組合。這個名字至少從 18 世紀末就開始使用，主要局限於蘭開夏郡的伯里鎮。,,,,,,
男,Rick,,,英語,Richard 的縮寫或以 rick 結尾的名字。一個著名的虛構名字是 Rick Blaine，由 Humphrey Bogart 在電影《卡薩布蘭卡》（1942 年）中飾演。,,,,,,
男,Rickey,,,英語,Richard 的暱稱。,,,,,,
男女,Ricki,,,英語,Ricky 的變體和女性形式。,,,,,,
男,Rickie,,,英語,Richard 的暱稱。,,,,,,
男,Ricky,,,英語,Richard 的暱稱。,,,,,,
